cct,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR0221Z,-1,-9,4,-1,1,-2,4,2,-9,-5,-1,-5,3,-2,0,-1,1,-1,0,5,-5
32DPR1249M,-7,15,0,-9,11,18,26,12,11,17,-8,19,-12,3,-16,4,7,75,32,-1,19
32DPR1334J,-3,-15,-3,-5,-3,3,-1,1,-5,-2,-5,-3,1,2,0,1,-1,3,-2,-1,1
32DPR1007P,3,-4,2,-1,10,2,-1,5,-9,-10,-2,-10,8,1,-4,7,-1,0,-2,-6,2
32DPR0463X,-9,-11,-2,-17,6,2,-5,8,-13,-9,-12,-10,12,9,-3,-2,6,-3,-3,0,-4
32DPR0137B,0,10,9,11,-22,-1,-9,3,3,16,4,9,-9,-18,-10,-15,-11,-10,-16,-2,-9
32DPR2314C,5,4,-3,-3,-3,-3,-2,0,-7,-5,-1,-4,0,3,0,-1,-1,5,-8,0,4
32DPR1209L,-1,-4,5,-7,-17,-6,-1,-2,-9,2,-4,-4,6,2,-4,-1,1,-3,-3,-1,1
32DPR2407S,57,65,-12,26,4,39,-4,-9,-18,1,0,0,-16,-12,-16,21,-4,9,-4,-5,-3
32DPR0422X,-6,-23,37,8,21,-27,-18,-18,-16,-8,-16,-12,0,-12,-40,-14,0,-10,25,-14,-5
32DPR0664U,-2,-10,-3,-5,-4,1,-1,3,-2,-6,-2,-1,0,2,3,-1,5,6,9,-1,-3
32DPR0337Z,-2,0,1,-2,-1,-1,-5,4,3,12,-3,7,-11,1,-6,4,1,0,3,-5,-4
32EPR0014R,5,7,4,1,-3,-25,17,34,11,6,20,8,-38,-5,-5,-15,-3,-19,-12,-7,7
32DPR0640K,-3,-12,-3,-2,11,-5,4,1,1,1,1,1,-3,-14,-2,1,-2,5,2,-1,5
32DPR0555N,-1,-12,2,-13,-7,-5,-14,-7,7,-6,1,0,8,11,5,8,6,9,5,4,-8
32DPR0313Q,5,-11,1,0,-1,-2,5,-3,12,-2,-9,6,-2,-4,0,-7,0,-1,2,-1,-1
32DPR0228T,-3,-1,-3,-2,3,4,6,-13,2,0,-2,-3,-3,7,2,6,-2,-1,-5,-9,-7
32DPR1668X,1,-7,-28,-3,-11,-15,-19,1,-1,9,-10,4,-28,-5,16,7,14,13,-30,-37,-33
32DPR0798J,-8,4,0,4,-2,0,1,0,1,-4,-3,-3,6,-13,-1,8,2,-5,-1,0,6
