cct,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DJN0168E,5,5,5,5,5,5,6,7,7,6,6,7,7,7,6,6,6,6,6,6,6,6
32DJN0011E,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
32DJN1147Z,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0276M,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4,4,5,4,4,4,4
32DJN0034P,6,6,7,7,7,7,7,7,8,7,7,7,7,7,7,7,8,8,8,8,8,8
32EJN0062K,5,6,6,5,6,6,6,6,6,5,6,6,6,6,7,6,6,7,6,5,5,5
32DJN0470Q,6,6,6,6,6,6,6,6,7,6,5,5,5,5,5,5,5,6,5,6,6,6
32DJN0385T,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1038S,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32DJN1123P,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2
32DJN0058Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0143W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2
32EJN0281X,3,2,3,2,3,3,3,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2
32DJN1014I,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0142X,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32EJN0509K,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5
32DJN0252C,2,3,3,3,3,3,3,3,3,3,3,2,2,3,5,3,3,3,3,3,3,3
32DJN0167F,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2
32EJN0391C,3,3,2,3,2,2,1,2,3,1,1,1,1,2,2,2,2,1,1,1,1,1
